устройство,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91
669261,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000,390000
637507,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000,744000
698680,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000,327000
622404,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000
634728,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000
649938,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000,252000
629701,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000
619645,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000,156000
676353,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000,276000
606025,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000,544000
634810,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000,304000
607725,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000,498000
629727,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000,193000
619184,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000
608014,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000
682240,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000,580000
634658,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000,467000
619783,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000,471000
682299,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000
605390,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000,666000
634767,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000,309000
605354,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000,720000
699004,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000,491000
